Лицевой счет,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь,Октябрь,Ноябрь,Декабрь
0001,"0,446","0,446","-0,091","0,198","0,198","0,403","0,246","0,354","0,253","0,632","0,299","0,299"
0002,"0,900","0,376","1,124","0,402","0,402","0,196","0,393","0,107","0,700","0,623","0,077","0,462"
0003,"0,093","0,114","0,101","0,199","0,100","0,200","0,100","0,100","0,686","0,149","0,151","0,174"
0004,"0,108","0,440","0,131","-0,131","0,111","0,216","0,118","0,118","0,118","0,972","-1,173","0,096"
0005,"0,300","0,152","0,448","0,200","0,050","0,050","0,502","0,188","0,188","0,188","2,172","-2,060"
0006,"0,172","0,569","0,203","-0,203","0,623","0,204","-0,148","0,139","0,139","0,139","-0,221","0,141"
0007,"0,412","0,179","0,783","0,377","0,059","0,009","0,012","0,015","0,011","0,026","0,030","0,000"
0008,"0,186","0,186","0,028","-0,586","0,044","0,044","0,044","0,028","0,028","0,028","0,028","-0,138"
0009,"0,142","0,142","0,731","-1,157","0,111","0,111","0,111","0,028","0,028","0,731","0,731","-1,852"
0010,"0,089","0,089","-0,048","0,200","0,086","0,086","0,086","0,028","0,028","0,813","0,813","-0,933"
0011,"0,151","0,149","1,689","0,270","-0,111","0,000","0,219","0,219","0,219","0,682","0,682","-1,894"
0012,"0,166","0,166","0,166","1,157","0,252","0,252","0,252","0,017","0,017","0,448","0,448","-0,274"
0013,"0,152","0,142","0,063","3,206","0,325","0,403","0,403","0,403","-0,746","0,429","0,025","0,402"
0014,"0,001","0,886","0,044","0,063","0,063","0,063","-0,046","0,064","-0,041","0,076","-0,069","0,066"
0015,"0,024","0,021","0,015","0,017","0,017","0,017","0,056","0,056","0,056","0,056","-0,145","0,017"
0016,"0,000","0,270","0,271","0,813","0,371","0,371","-0,303","0,269","0,269","-0,390","0,200","0,200"
0017,"0,000","0,146","1,329","0,082","0,426","-0,295","0,083","0,026","0,233","-0,138","0,095","0,000"
0018,"0,000","0,248","1,042","0,484","0,484","-0,715","0,273","0,273","0,273","0,740","-0,701","0,224"
0019,"0,029","0,029","0,744","0,055","0,138","0,113","0,113","0,113","0,084","0,412","0,392","-0,945"
0020,"0,000","0,143","0,143","-0,285","0,115","0,115","0,115","0,028","0,028","0,793","0,793","-1,986"
0021,"0,308","0,237","0,145","0,145","0,145","0,066","0,194","0,160","0,160","0,160","-0,197","0,155"
0022,"0,187","0,187","0,187","-0,533","0,917","0,159","0,159","-0,314","0,001","0,107","-0,081","0,095"
0023,"0,208","0,208","0,084","0,212","0,388","0,217","2,944","0,442","0,442","0,442","-0,188","0,427"
0024,"0,436","0,205","0,177","-0,335","0,479","0,100","0,000","0,204","-0,004","0,188","0,188","-0,285"
0025,"0,311","0,311","0,552","0,552","3,599","0,006","0,470","0,470","0,470","0,552","0,552","-2,515"
0026,"0,138","0,149","0,401","0,129","0,129","0,292","0,050","0,097","0,081","0,131","0,131","0,064"
0027,"0,189","0,189","0,189","0,895","0,028","0,028","0,028","0,028","0,028","0,895","0,895","-0,075"
0028,"0,051","0,051","0,107","0,039","0,039","0,313","0,062","0,062","0,062","2,435","-2,455","0,314"
0029,"0,174","0,397","0,224","0,185","0,104","0,144","-0,088","0,032","0,143","-0,007","0,138","0,242"
0030,"0,300","0,225","0,175","0,200","0,300","0,233","0,157","0,076","0,214","-0,014","0,180","0,180"
0031,"0,635","0,794","0,560","0,568","0,226","0,012","0,012","0,009","0,007","0,031","0,010","0,010"
0032,"0,539","0,539","0,539","0,539","0,028","0,028","0,028","0,028","0,028","0,539","0,539","-5,759"
0033,"0,370","0,384","0,179","0,332","0,231","0,007","0,008","0,012","0,005","0,060","0,104","0,142"
