Лицевой счет,Январь,Февраль,Март,Апрель,Май,Июнь,Июль,Август,Сентябрь
0001,"0,218","0,299","0,299","-0,449","0,250","0,250","-0,050","0,223","0,223"
0002,"0,538","0,450","0,550","0,408","-0,406","0,350","0,350","-0,102","0,333"
0003,"0,174","0,174","-0,486","0,140","0,125","0,137","0,137","0,137","0,033"
0004,"0,096","0,096","-0,282","0,395","0,073","0,073","0,073","0,066","0,066"
0005,"0,198","0,198","-0,386","0,124","-0,110","0,104","0,224","0,086","0,268"
0006,"0,141","0,141","0,556","0,142","-0,133","0,103","0,103","0,103","-0,029"
0007,"0,167","0,180","0,064","0,039","0,016","0,008","0,002","0,002","0,006"
0008,"0,008","0,008","0,062","0,141","0,027","0,027","0,028","0,028","0,028"
0009,"0,000","0,000","0,000","0,003","0,000","0,000","0,000","0,028","0,028"
0010,"0,109","0,202","0,131","0,130","0,131","0,066","0,132","0,127","0,127"
0011,"0,190","0,834","0,250","0,250","0,708","0,197","-0,076","0,191","0,191"
0012,"-0,580","0,191","0,191","-0,287","0,563","0,114","-0,114","0,099","0,099"
0013,"0,273","0,253","0,434","0,025","0,328","0,197","0,202","-0,134","0,178"
0014,"0,066","0,104","0,038","0,038","-0,074","0,178","0,009","0,008","0,036"
0015,"0,017","0,021","0,016","0,029","0,018","0,012","0,017","0,002","0,016"
0016,"0,200","0,785","-0,600","0,641","0,168","0,168","0,168","0,028","0,028"
0017,"0,147","0,315","0,078","0,144","0,093","0,093","-0,063","0,085","0,085"
0018,"0,224","0,224","-0,640","0,739","0,145","0,145","-0,142","0,136","0,136"
0019,"0,230","0,109","0,091","0,185","0,086","0,009","0,065","0,075","-0,126"
0020,"1,236","0,103","0,103","0,056","0,125","0,125","0,125","0,028","0,028"
0021,"-0,155","0,101","0,101","-0,199","0,070","-0,070","0,061","0,061","0,061"
0022,"0,095","0,095","0,613","-0,848","0,452","0,044","0,044","-0,083","0,045"
0023,"0,427","-0,066","0,444","-0,001","0,039","0,464","0,036","0,242","0,242"
0024,"0,010","0,040","0,072","0,072","-0,135","0,037","0,037","0,037","-0,032"
0025,"1,757","0,527","0,118","0,735","0,000","0,262","0,262","0,262","0,017"
0026,"0,017","0,017","-0,033","0,100","0,095","0,105","0,071","0,071","0,071"
0027,"0,276","0,276","-0,453","0,228","-0,214","0,202","0,202","0,202","0,028"
0028,"0,090","0,090","-0,171","0,045","0,045","0,069","0,069","0,069","0,028"
0029,"0,117","0,299","0,128","-0,040","0,208","0,030","0,104","-0,067","0,108"
0030,"0,180","0,763","-0,804","0,139","-0,130","0,098","0,098","0,098","0,033"
0031,"0,008","0,010","0,005","0,005","0,001","0,010","-0,009","0,001","0,007"
0032,"0,890","0,040","0,040","0,040","0,028","0,028","0,028","0,028","0,028"
0033,"0,151","0,172","0,201","0,071","0,071","0,004","0,000","0,001","0,082"
0034,"0,300","0,376","0,224","0,300","0,200","0,200","0,391","0,109","0,300"
0035,"0,132","0,132","-0,259","0,040","0,040","0,040","0,017","0,017","0,017"
0036,"-0,036","0,221","0,221","-0,422","0,058","0,058","-0,066","0,028","0,028"
0037,"0,369","0,284","0,453","0,249","0,122","0,023","0,010","0,015","0,147"
0038,"0,300","0,600","0,000","0,652","-0,001","0,827","0,246","0,246","0,246"
0039,"0,302","0,302","0,449","0,258","-0,250","0,186","0,186","0,186","0,050"
0040,"0,118","-0,277","0,035","0,027","0,027","0,027","0,033","0,033","0,033"
0041,"0,003","0,003","0,003","-0,002","0,004","0,004","0,066","0,008","0,008"
0042,"0,057","0,057","0,057","0,183","0,061","-0,061","0,040","-0,040","0,037"
0043,"0,000","0,000","0,000","0,006","0,000","0,000","0,000","0,066","0,066"
0044,"0,000","0,138","0,091","0,133","-0,124","0,110","0,110","0,110","0,112"
0045,"0,000","0,000","0,000","0,000","0,521","0,000","0,000","0,043","0,043"
0046,"0,090","0,090","-0,155","0,006","0,015","0,015","-0,018","0,005","0,004"
0047,"0,100","0,020","0,180","0,033","0,033","0,033","0,017","0,017","0,017"
0048,"0,000","0,000","1,793","-1,793","0,000","0,000","0,000","0,028","0,028"
0049,"0,002","0,002","0,002","0,016","0,004","0,004","0,004","0,033","0,033"
0050,"0,289","0,189","0,005","0,181","-0,162","0,140","0,140","0,140","0,083"
0051,"0,239","-0,239","-1,262","0,281","0,570","0,125","0,100","0,115","0,115"
0052,"0,000","0,000","0,009","0,001","0,001","0,001","0,017","0,017","0,017"
0053,"0,246","0,246","2,061","-2,698","0,175","0,175","0,175","0,140","0,140"
